query_id,category,system,strategy,precision_at_k,recall_at_k,mrr,ndcg_at_k,context_relevance,strategy_accuracy,confidence_score,latency_ms
Q01,keyword-heavy,BM25-Only,Fixed BM25,0.6667,1.0,1.0,1.0,0.8333,1.0,0.5,0.0
Q01,keyword-heavy,Semantic-Only,Fixed Semantic,0.6667,1.0,1.0,1.0,0.8333,0.0,0.55,6.88
Q01,keyword-heavy,Fixed Hybrid,Fixed Score Fusion,0.6667,1.0,1.0,1.0,0.8333,0.0,0.65,6.94
Q01,keyword-heavy,Proposed V1 (Heuristic),BM25 Retrieval,0.6667,1.0,1.0,1.0,0.8333,1.0,0.85,6.94
Q01,keyword-heavy,Proposed V2 (Learned Adaptive),BM25 Retrieval,0.6667,1.0,1.0,1.0,0.8333,1.0,0.85,6.94
Q02,keyword-heavy,BM25-Only,Fixed BM25,0.3333,1.0,1.0,1.0,0.5,1.0,0.5,0.0
Q02,keyword-heavy,Semantic-Only,Fixed Semantic,0.3333,1.0,1.0,1.0,0.5,0.0,0.55,6.86
Q02,keyword-heavy,Fixed Hybrid,Fixed Score Fusion,0.3333,1.0,1.0,1.0,0.5,0.0,0.65,6.92
Q02,keyword-heavy,Proposed V1 (Heuristic),BM25 Retrieval,0.3333,1.0,1.0,1.0,0.5,1.0,0.86,13.54
Q02,keyword-heavy,Proposed V2 (Learned Adaptive),BM25 Retrieval,0.3333,1.0,1.0,1.0,0.5,1.0,0.86,7.27
Q03,keyword-heavy,BM25-Only,Fixed BM25,0.6667,1.0,1.0,1.0,0.25,1.0,0.5,0.0
Q03,keyword-heavy,Semantic-Only,Fixed Semantic,0.6667,1.0,1.0,1.0,0.25,0.0,0.55,6.89
Q03,keyword-heavy,Fixed Hybrid,Fixed Score Fusion,0.6667,1.0,1.0,1.0,0.25,0.0,0.65,7.11
Q03,keyword-heavy,Proposed V1 (Heuristic),Hybrid Retrieval,0.6667,1.0,1.0,1.0,0.25,0.0,0.65,7.11
Q03,keyword-heavy,Proposed V2 (Learned Adaptive),Hybrid Retrieval,0.6667,1.0,1.0,1.0,0.25,0.0,0.65,7.11
Q04,semantic,BM25-Only,Fixed BM25,0.6667,1.0,1.0,0.9197,0.25,0.0,0.5,0.0
Q04,semantic,Semantic-Only,Fixed Semantic,0.6667,1.0,1.0,0.9197,0.25,1.0,0.55,6.92
Q04,semantic,Fixed Hybrid,Fixed Score Fusion,0.6667,1.0,1.0,1.0,0.25,0.0,0.65,11.16
